# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct 29 14:41:38 2022
#
# User preference: *
#
# CONSTRAINT:  where (elat in [-.269,.269])
# CONSTRAINT:  order by sy_dist asc
#
# COLUMN pl_name:        Planet Name
# COLUMN gaia_id:        GAIA ID
# COLUMN elat:           Ecliptic Latitude [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_plx:         Parallax [mas]
# COLUMN disc_year:      Discovery Year
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_refname:   Discovery Reference
#
pl_name,gaia_id,elat,sy_dist,pl_orbper,pl_rade,pl_bmasse,pl_bmassprov,pl_dens,pl_orbincl,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,st_dens,ra,dec,sy_plx,disc_year,discoverymethod,disc_refname
K2-86 b,Gaia DR2 55994798604873216,-0.11574,258.6990000,8.77683000,1.960,4.50000,M-R relationship,3.280000,88.560,,,5482.00,0.76,0.79,-0.386,4.58,2.16081,51.5531053,18.6355718,3.8371700,2016,Transit,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>
WASP-47 b,Gaia DR2 2613413008919918976,-0.20871,264.7800000,4.15914920,12.640,363.60000,Mass,0.989000,89.020,1275,,5552.00,1.14,1.04,0.032,4.34,0.99800,331.2030920,-12.0190670,3.7496400,2012,Transit,<a refstr=HELLIER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.426..739H/abstract target=ref> Hellier et al. 2012 </a>
WASP-47 c,Gaia DR2 2613413008919918976,-0.20871,264.7800000,588.80000000,13.500,500.00000,Mass,1.120000,87.000,247,,5552.00,1.14,1.04,0.024,4.34,0.99800,331.2030920,-12.0190670,3.7496400,2015,Radial Velocity,<a refstr=NEVEU_VANMALLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv150907750N/abstract target=ref>Neveu-VanMalle et al. 2015</a>
WASP-47 d,Gaia DR2 2613413008919918976,-0.20871,264.7800000,9.03055000,3.567,14.20000,Mass,1.720000,89.220,,,5552.00,1.14,1.04,0.032,4.34,0.99800,331.2030920,-12.0190670,3.7496400,2015,Transit,<a refstr=BECKER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv150802411B/abstract target=ref>Becker et al. 2015</a>
WASP-47 e,Gaia DR2 2613413008919918976,-0.20871,264.7800000,0.78959330,1.808,6.77000,Mass,6.290000,85.980,,,5552.00,1.14,1.04,0.032,4.34,0.99800,331.2030920,-12.0190670,3.7496400,2015,Transit,<a refstr=BECKER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv150802411B/abstract target=ref>Becker et al. 2015</a>
K2-39 b,Gaia DR2 2609222216055014144,0.05348,307.4700000,4.60543000,6.277,28.60470,Mass,0.500000,80.390,1670,,4881.00,2.97,0.66,0.674,3.44,0.04000,338.3682095,-9.0229405,3.2244000,2016,Transit,<a refstr=VAN_EYLEN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..143V/abstract target=ref>Van Eylen et al. 2016</a>
K2-195 b,Gaia DR2 3624969886932157568,-0.13184,315.0140000,15.85297500,3.130,9.96000,M-R relationship,1.780000,89.041,720,,5713.00,0.99,0.94,-0.012,4.42,1.09000,199.8315191,-8.5095364,3.1462700,2018,Transit,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>
K2-195 c,Gaia DR2 3624969886932157568,-0.13184,315.0140000,28.48278600,2.576,7.16000,M-R relationship,2.300000,88.537,,,5712.00,0.91,0.96,-0.053,4.55,1.48050,199.8315191,-8.5095364,3.1462700,2018,Transit,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>
K2-374 b,Gaia DR2 607937055787752576,-0.00490,359.4390000,4.52195300,1.593,3.16000,M-R relationship,4.300000,,,G3,5789.00,0.91,0.73,-0.059,4.39,1.82777,137.3794986,16.3558324,2.7537200,2022,Transit,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>
K2-374 c,Gaia DR2 607937055787752576,-0.00490,359.4390000,16.43445000,2.213,5.53000,M-R relationship,2.800000,,,G3,5789.00,0.91,0.73,-0.059,4.39,1.82777,137.3794986,16.3558324,2.7537200,2022,Transit,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>
K2-74 b,Gaia DR2 2609566053956741888,-0.22989,377.8220000,19.56660000,2.310,5.95000,M-R relationship,2.650000,88.920,,,6060.00,0.98,0.96,0.060,4.44,1.46962,339.9192984,-8.7145697,2.6188000,2016,Transit,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>
K2-272 b,Gaia DR2 659826037455527040,-0.14617,423.0650000,14.45367560,3.130,9.96000,M-R relationship,1.780000,,747,,5397.00,0.83,0.86,-0.302,4.53,2.57700,132.6211743,17.5423852,2.3350500,2018,Transit,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>
K2-64 b,Gaia DR2 2613822710144971776,-0.07140,499.8910000,6.53044000,2.070,4.94000,M-R relationship,3.060000,,,,5312.00,0.73,0.74,-0.234,4.58,1.97545,332.4138478,-11.4286687,1.9729100,2016,Transit,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>
K2-196 b,Gaia DR2 3625009164407557760,0.13400,584.8770000,48.32422200,3.600,12.60000,M-R relationship,1.480000,88.274,,,6045.00,1.54,1.16,0.644,4.08,0.19854,200.4562487,-8.4717104,1.6832600,2018,Transit,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>
K2-340 b,Gaia DR2 662705555330268928,0.19120,738.1360000,29.74045100,3.360,11.20000,M-R relationship,1.620000,,606,,5532.00,1.13,0.93,-0.002,4.30,0.98178,127.9373409,19.0745863,1.3260000,2016,Transit,<a refstr=POPE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.461.3399P/abstract target=ref>Pope et al. 2016</a>
HATS-11 b,Gaia DR2 6771149120491232768,-0.14734,944.6030000,3.61918800,18.030,263.79890,Mass,0.315000,89.030,1596,G0,6563.00,1.54,1.33,0.403,4.19,0.47900,289.4007603,-22.3900092,1.0313500,2016,Transit,<a refstr=RABUS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...88R/abstract target=ref>Rabus et al. 2016</a>
KMT-2016-BLG-2397L b,,0.19215,4880.0000000,,13.200,836.00000,Mass,2.000000,,,,,,0.64,,,,266.2125420,-23.2013806,,2020,Microlensing,<a refstr=HAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.110H/abstract target=ref>Han et al. 2020</a>
OGLE-2019-BLG-0299L b,,-0.18010,5830.0000000,,12.700,1976.89269,Mass,5.300000,,,,,,0.59,,,,266.6794583,-23.5843111,,2021,Microlensing,<a refstr=HAN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...655A..21H/abstract target=ref>Han et al. 2021</a>
